"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\announcements\create.blade.php", "PHP", 61, 0, 6, 67
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\announcements\edit.blade.php", "PHP", 60, 0, 6, 66
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\announcements\index.blade.php", "PHP", 85, 0, 15, 100
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\announcements\show.blade.php", "PHP", 67, 0, 10, 77
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\dashboard.blade.php", "PHP", 784, 0, 93, 877
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\directory\directory.blade copy.php", "PHP", 315, 0, 4, 319
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\directory\directory.blade.php", "PHP", 128, 0, 10, 138
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\directory\user\profile.blade.php", "PHP", 341, 0, 38, 379
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\401k.blade.php", "PHP", 78, 0, 3, 81
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\careers.blade.php", "PHP", 30, 0, 4, 34
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\healthplan.blade.php", "PHP", 125, 0, 3, 128
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\mvp.blade.php", "PHP", 263, 0, 12, 275
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\paylocity.blade.php", "PHP", 90, 0, 3, 93
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\humanresources\schedulesforms.blade.php", "PHP", 399, 0, 11, 410
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\infotech\ticket.blade.php", "PHP", 211, 0, 13, 224
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\building.blade.php", "PHP", 213, 0, 35, 248
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\courses\catalog\index.blade.php", "PHP", 103, 3, 14, 120
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\courses\fullcalendar\master.blade.php", "PHP", 109, 0, 22, 131
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\courses\fullcalendar\modal-calendar.blade.php", "PHP", 56, 0, 0, 56
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\courses\fullcalendar\modal-fastEvents.blade.php", "PHP", 56, 0, 0, 56
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\courses\industryterms\index.blade.php", "PHP", 4166, 0, 9, 4175
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\create.blade.php", "PHP", 61, 0, 6, 67
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\edit.blade.php", "PHP", 60, 0, 7, 67
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\index.blade.php", "PHP", 74, 0, 9, 83
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\learning\show.blade.php", "PHP", 64, 0, 12, 76
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\mediamanager\edit.blade.php", "PHP", 80, 0, 6, 86
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\mediamanager\files.blade.php", "PHP", 520, 0, 40, 560
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\mediamanager\upload.blade.php", "PHP", 302, 0, 12, 314
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\operations\daily.blade.php", "PHP", 426, 0, 33, 459
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\operations\forms.blade.php", "PHP", 3218, 0, 30, 3248
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\data.blade.php", "PHP", 151, 0, 16, 167
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\documents.blade.php", "PHP", 248, 0, 11, 259
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\flyers.blade.php", "PHP", 481, 0, 12, 493
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\forms.blade copy.php", "PHP", 162, 0, 5, 167
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\forms.blade.php", "PHP", 747, 0, 7, 754
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\sales\ratesheets.blade.php", "PHP", 751, 0, 25, 776
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\search\results.blade.php", "PHP", 83, 0, 8, 91
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\servicing\servicing.blade.php", "PHP", 270, 0, 10, 280
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\usermanagement\edit.blade.php", "PHP", 120, 0, 25, 145
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\usermanagement\index.blade.php", "PHP", 75, 0, 7, 82
"c:\Users\devByDesign\Documents\cintra\resources\views\pages\usermanagement\profile.blade.php", "PHP", 336, 0, 37, 373
"Total", "-", 15969, 3, 629, 16601